1,affordable,支付得起
2,afraid,害怕
3,Africa,非洲
4,African,非洲人
5,after,以后
6,afternoon,下午
7,afterward,后来
8,again,再
9,against,反对
10,age,年龄
11,agency,经办
12,agenda,记事册
13,agent,代理人
14,aggravate,使恶化
15,aggressive,进攻的
16,ago,以前
17,agony,极度痛苦
18,agree,同意
19,agreeable,同意的
20,agreement,协定
21,agriculture,农业
22,ahead,在前
23,aid,帮助
24,aim,瞄准
25,air,空气
26,air-conditioning,空调
27,aircraft,飞机
28,airline,航线
29,airplane,飞机
30,airport,机场
31,aisle,走廊
32,alarm,警报
33,album,照相簿
34,alcohol,酒精
35,alert,警惕
36,alien,外国人
37,alike,同样的
38,alive,活跃的
39,all,全部
40,allege,宣称
41,alleged,所谓的
42,allergic,过敏的
43,alleviate,减轻
44,alliance,联盟
45,allocate,分配
46,allow,允许
47,allowance,津贴
48,ally,联合
49,almost,几乎
50,aloft,在上面的
51,alone,独自
52,along,沿着
53,aloud,大声的
54,alphabet,字母表
55,already,已经
56,also,也
57,alter,祭坛
58,alternate,交替
59,alternative,替换物
60,although,尽管
61,altitude,高
62,altogether,完全
63,aluminium,铝
64,always,总是
65,amass,积聚
66,amateur,业余
67,amaze,使惊奇
68,amazing,令人吃惊的
69,Amazon,亚马逊
70,ambassador,大使
71,ambiguity,意思含糊
72,ambiguous,有雄心的
73,ambition,雄心
74,ambulance,救护车
75,amend,修正
76,America,美洲
77,American,美洲人
78,amid,在其中
79,ammunition,弹药
80,amongst,在之中
81,amount,总数
82,ample,丰富的
83,amplify,放大
84,amuse,逗乐
85,analogy,相似的
86,analysis,分析
87,analyze,分析
88,ancestor,祖先
89,anchor,锚
90,ancient,古代的
91,and,和
92,anemia,贫血
93,angel,天使
94,anger,怒
95,angle,角度
96,angry,生气的
97,animal,动物
98,animate,使活泼
99,ankle,踝关节
100,anniversary,周年纪念日
101,announce,宣布
102,annoy,使恼怒
103,annual,每年的
104,anonymous,匿名
105,another,再一个的
106,answer,回答
107,ant,蚂蚁
108,antarctic,南极的
109,anticipate,预料
110,antique,古代的
